match_id,team,name,battingStyle,bowlingStyle,playingRole,team1,team2,matchDate,stage,image,description
"T20I # 1864",Australia,"Aaron Finch","Right hand Bat","Slow Left arm Orthodox","Top order Batter",Australia,Afghanistan,"2022-11-04 00:00:00","Super 12",,"A solidly built, aggressive batter from a country town in Victoria, Aaron Finch ascended to become Australia's ODI and T20I captain, leading his country to their first T20 World Cup triumph in 2021."
"T20I # 1855",Australia,"Aaron Finch","Right hand Bat","Slow Left arm Orthodox","Top order Batter",Australia,Ireland,"2022-10-31 00:00:00","Super 12",,"A solidly built, aggressive batter from a country town in Victoria, Aaron Finch ascended to become Australia's ODI and T20I captain, leading his country to their first T20 World Cup triumph in 2021."
"T20I # 1849b",Australia,"Aaron Finch","Right hand Bat","Slow Left arm Orthodox","Top order Batter",Australia,England,"2022-10-28 00:00:00","Super 12",,"A solidly built, aggressive batter from a country town in Victoria, Aaron Finch ascended to become Australia's ODI and T20I captain, leading his country to their first T20 World Cup triumph in 2021."
"T20I # 1845",Australia,"Aaron Finch","Right hand Bat","Slow Left arm Orthodox","Top order Batter",Australia,"Sri Lanka","2022-10-25 00:00:00","Super 12",,"A solidly built, aggressive batter from a country town in Victoria, Aaron Finch ascended to become Australia's ODI and T20I captain, leading his country to their first T20 World Cup triumph in 2021."
"T20I # 1839",Australia,"Aaron Finch","Right hand Bat","Slow Left arm Orthodox","Top order Batter",Australia,"New Zealand","2022-10-22 00:00:00","Super 12",,"A solidly built, aggressive batter from a country town in Victoria, Aaron Finch ascended to become Australia's ODI and T20I captain, leading his country to their first T20 World Cup triumph in 2021."
"T20I # 1836",U.A.E.,"Aayan Afzal Khan","Right hand Bat","Slow Left arm Orthodox","Bowling Allrounder",Namibia,U.A.E.,"2022-10-20 00:00:00",Qualifier,,
"T20I # 1832",U.A.E.,"Aayan Afzal Khan","Right hand Bat","Slow Left arm Orthodox","Bowling Allrounder","Sri Lanka",U.A.E.,"2022-10-18 00:00:00",Qualifier,,
"T20I # 1825",U.A.E.,"Aayan Afzal Khan","Right hand Bat","Slow Left arm Orthodox","Bowling Allrounder",Netherlands,U.A.E.,"2022-10-16 00:00:00",Qualifier,,
"T20I # 1864",Australia,"Adam Zampa","Right hand Bat","Legbreak Googly",Bowler,Australia,Afghanistan,"2022-11-04 00:00:00","Super 12",,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical."
"T20I # 1855",Australia,"Adam Zampa","Right hand Bat","Legbreak Googly",Bowler,Australia,Ireland,"2022-10-31 00:00:00","Super 12",,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical."
"T20I # 1849b",Australia,"Adam Zampa","Right hand Bat","Legbreak Googly",Bowler,Australia,England,"2022-10-28 00:00:00","Super 12",,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical."
"T20I # 1845",Australia,"Adam Zampa","Right hand Bat","Legbreak Googly",Bowler,Australia,"Sri Lanka","2022-10-25 00:00:00","Super 12",,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical."
"T20I # 1839",Australia,"Adam Zampa","Right hand Bat","Legbreak Googly",Bowler,Australia,"New Zealand","2022-10-22 00:00:00","Super 12",,"An energetic and competitive legspinner, Adam Zampa emerged in Australia's limited-overs squads in 2016 after a successful summer for South Australia and the Melbourne Stars. In T20, especially, he has proven a hard man to get away, with subtle changes of pace and variations, including a wrong'un and straight ball making up for a lack of prodigious turn. He's a (mullet-wearing) colourful character off the field, but in contrast, his bowling, focusing on control, is clinical."
"T20I # 1879",England,"Adil Rashid","Right hand Bat",Legbreak,Bowler,England,Pakistan,"2022-11-13 00:00:00","Super 12",,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
"T20I # 1878",England,"Adil Rashid","Right hand Bat",Legbreak,Bowler,England,India,"2022-11-10 00:00:00","Super 12",,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
"T20I # 1867",England,"Adil Rashid","Right hand Bat",Legbreak,Bowler,England,"Sri Lanka","2022-11-05 00:00:00","Super 12",,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
"T20I # 1858",England,"Adil Rashid","Right hand Bat",Legbreak,Bowler,England,"New Zealand","2022-11-01 00:00:00","Super 12",,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
"T20I # 1849b",England,"Adil Rashid","Right hand Bat",Legbreak,Bowler,Australia,England,"2022-10-28 00:00:00","Super 12",,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
"T20I # 1846",England,"Adil Rashid","Right hand Bat",Legbreak,Bowler,England,Ireland,"2022-10-26 00:00:00","Super 12",,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
"T20I # 1840",England,"Adil Rashid","Right hand Bat",Legbreak,Bowler,Afghanistan,England,"2022-10-22 00:00:00","Super 12",,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200."
